Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
1950000,1.3134868,2.9340644,999.0,31.874234095215797,31.874234095215797,1.0
1960000,1.3123821,3.066689,999.0,36.164701747894284,36.164701747894284,1.0
1970000,1.3118687,3.168612,999.0,36.28131138947275,36.28131138947275,1.0
1980000,1.3110373,3.1353827,999.0,33.10386219620705,33.10386219620705,1.0
1990000,1.3104095,3.132284,999.0,34.63838208839297,34.63838208839297,1.0
2000000,1.310306,3.1152287,999.0,29.546537172049284,29.546537172049284,1.0
2010000,1.3101946,3.185784,999.0,34.35395685169432,34.35395685169432,1.0
2020000,1.3094726,3.1002345,999.0,30.992205135524273,30.992205135524273,1.0
2030000,1.3082868,3.2170079,999.0,33.522990465164185,33.522990465164185,1.0
2040000,1.3077544,3.28709,999.0,32.34852058241765,32.34852058241765,1.0
2050000,1.3063202,3.2837574,999.0,33.29519020848804,33.29519020848804,1.0
2060000,1.3061773,3.1947684,999.0,34.469794631935656,34.469794631935656,1.0
2070000,1.3055465,3.289022,999.0,30.310880854725838,30.310880854725838,1.0
2080000,1.3055184,3.1640844,999.0,33.56876137852669,33.56876137852669,1.0
2090000,1.3050977,3.2395148,999.0,34.49288090070089,34.49288090070089,1.0
2100000,1.3050976,3.1994565,999.0,34.020183093845844,34.020183093845844,1.0
2110000,1.3041497,3.1667933,999.0,40.28591723740101,40.28591723740101,1.0
2120000,1.3041209,3.3778646,999.0,32.70619045893351,32.70619045893351,1.0
2130000,1.3033543,3.3237514,999.0,35.039594895309875,35.039594895309875,1.0
2140000,1.303245,3.3076935,999.0,33.8110227137804,33.8110227137804,1.0
2150000,1.3019538,3.3288736,999.0,31.484134186059237,31.484134186059237,1.0
2160000,1.3015649,3.4416451,999.0,36.16642787456512,36.16642787456512,1.0
2170000,1.3008678,3.333686,999.0,31.584384706285263,31.584384706285263,1.0
2180000,1.300514,3.439211,999.0,33.05876636505127,33.05876636505127,1.0
2190000,1.3000355,3.3999572,999.0,31.47779584210366,31.47779584210366,1.0
2200000,1.2996997,3.3789012,999.0,32.56836704512437,32.56836704512437,1.0
2210000,1.2989367,3.4060676,999.0,35.86549223131604,35.86549223131604,1.0
2220000,1.2980773,3.4693954,999.0,35.9539193585515,35.9539193585515,1.0
2230000,1.2976396,3.4160852,999.0,35.461187191307545,35.461187191307545,1.0
2240000,1.2969474,3.4090984,999.0,38.29962390263875,38.29962390263875,1.0
2250000,1.29693,3.4142647,999.0,34.040879587332405,34.040879587332405,1.0
2260000,1.2968915,3.4782314,999.0,33.90924987196922,33.90924987196922,1.0
2270000,1.296793,3.4944534,999.0,38.58731673657894,38.58731673657894,1.0
2280000,1.2963283,3.4842541,999.0,36.04014750520388,36.04014750520388,1.0
2290000,1.296239,3.4143765,999.0,36.216153820355736,36.216153820355736,1.0
2300000,1.2951882,3.4715252,999.0,34.05587662756443,34.05587662756443,1.0
2310000,1.2951882,3.4443934,999.0,39.508751429617405,39.508751429617405,1.0
2320000,1.294377,3.4255292,999.0,35.05719737211863,35.05719737211863,1.0
2330000,1.2943585,3.3759284,999.0,27.161305415547556,27.161305415547556,1.0
2340000,1.2933275,3.4353187,999.0,33.342867590487,33.342867590487,1.0
2350000,1.2931727,3.4424531,999.0,37.03654703684151,37.03654703684151,1.0
2360000,1.2922546,3.481331,999.0,37.818325912952425,37.818325912952425,1.0
2370000,1.2920086,3.4525986,999.0,37.9900374909242,37.9900374909242,1.0
2380000,1.290927,3.5421474,999.0,39.33139532804489,39.33139532804489,1.0
2390000,1.2903898,3.500332,999.0,37.48360153287649,37.48360153287649,1.0
2400000,1.2902828,3.5550604,999.0,37.29157727559407,37.29157727559407,1.0
2410000,1.2902106,3.5644717,999.0,37.4757518503401,37.4757518503401,1.0
2420000,1.2897861,3.6656895,999.0,40.38659557700157,40.38659557700157,1.0
2430000,1.2892951,3.6751153,999.0,39.44045013934374,39.44045013934374,1.0
2440000,1.2886252,3.624216,999.0,39.065658859411876,39.065658859411876,1.0
2450000,1.2875016,3.6899185,999.0,35.515364062454964,35.515364062454964,1.0
2460000,1.287353,3.6933932,999.0,36.814913203939795,36.814913203939795,1.0
2470000,1.2869852,3.6385005,999.0,40.80251641571522,40.80251641571522,1.0
2480000,1.2868444,3.6426003,999.0,36.18164534568787,36.18164534568787,1.0
2490000,1.2860882,3.6740746,999.0,34.83706984255049,34.83706984255049,1.0
2500000,1.2860343,3.73599,999.0,39.507038593292236,39.507038593292236,1.0
2510000,1.2854378,3.7907162,999.0,37.757321774959564,37.757321774959564,1.0
2520000,1.2854378,3.7174747,999.0,35.818701126178105,35.818701126178105,1.0
2530000,1.2856915,3.7593434,999.0,39.619868516922,39.619868516922,1.0
2540000,1.2856988,3.7286038,999.0,37.95779970288277,37.95779970288277,1.0
2550000,1.2851561,3.7957625,999.0,43.04376392066479,43.04376392066479,1.0
2560000,1.2850693,3.7866654,999.0,38.331182046731314,38.331182046731314,1.0
2570000,1.284362,3.8269048,999.0,41.29099746545156,41.29099746545156,1.0
2580000,1.2841517,3.7824428,999.0,36.30512644350529,36.30512644350529,1.0
2590000,1.2835748,3.7023277,999.0,34.19260998442769,34.19260998442769,1.0
2600000,1.283294,3.7267754,999.0,36.48742129604022,36.48742129604022,1.0
2610000,1.2831134,3.7274995,999.0,38.957293563418915,38.957293563418915,1.0
2620000,1.2829806,3.8312156,999.0,40.89884527027607,40.89884527027607,1.0
2630000,1.2826656,3.7519882,999.0,35.34680156223476,35.34680156223476,1.0
2640000,1.2823265,3.8849494,999.0,42.215518260002135,42.215518260002135,1.0
2650000,1.2820196,3.705043,999.0,32.992878291341995,32.992878291341995,1.0
2660000,1.2814815,3.8740952,999.0,40.43905021995306,40.43905021995306,1.0
2670000,1.2812352,3.7692864,999.0,38.27325692772865,38.27325692772865,1.0
2680000,1.2806113,3.812585,999.0,38.283815650766094,38.283815650766094,1.0
2690000,1.2804853,3.7950528,999.0,37.83298425541984,37.83298425541984,1.0
2700000,1.2799151,3.8249176,999.0,35.533757232129574,35.533757232129574,1.0
2710000,1.2799301,3.8454826,999.0,42.05893102288246,42.05893102288246,1.0
2720000,1.2801496,3.7538283,999.0,35.62873530785243,35.62873530785243,1.0
2730000,1.2801496,3.7894783,999.0,34.593408173984955,34.593408173984955,1.0
2740000,1.2801532,3.8712158,999.0,42.63665094971657,42.63665094971657,1.0
2750000,1.2801512,3.8219833,999.0,40.735796604305506,40.735796604305506,1.0
2760000,1.2794846,3.8295944,999.0,37.32231503327687,37.32231503327687,1.0
2770000,1.2793853,3.766148,999.0,34.54188146856096,34.54188146856096,1.0
2780000,1.2789731,3.8207486,999.0,34.33484208956361,34.33484208956361,1.0
2790000,1.2788543,3.8517742,999.0,43.442089557647705,43.442089557647705,1.0
2800000,1.278794,3.8751118,999.0,40.37604295164347,40.37604295164347,1.0
2810000,1.2787666,3.8811653,999.0,39.85958037773768,39.85958037773768,1.0
2820000,1.2783734,3.8518634,999.0,33.37511983513832,33.37511983513832,1.0
2830000,1.2780745,3.8785763,999.0,41.06499698758125,41.06499698758125,1.0
2840000,1.277807,3.8173752,999.0,38.081792585055034,38.081792585055034,1.0
2850000,1.2775116,3.8306572,999.0,36.668109034498535,36.668109034498535,1.0
2860000,1.2775102,3.8867736,999.0,36.764132420532405,36.764132420532405,1.0
2870000,1.2775079,3.848314,999.0,39.65260964632034,39.65260964632034,1.0
2880000,1.2773559,3.9132087,999.0,39.53758229017258,39.53758229017258,1.0
2890000,1.2769334,3.8580766,999.0,38.62820057074229,38.62820057074229,1.0
2900000,1.2768234,3.910643,999.0,37.833316422998905,37.833316422998905,1.0
2910000,1.2763265,3.917481,999.0,39.722656067460775,39.722656067460775,1.0
2920000,1.2763021,3.9386342,999.0,39.19599418838819,39.19599418838819,1.0
2930000,1.2759292,3.8296058,999.0,35.44001947508918,35.44001947508918,1.0
2940000,1.2759292,3.882885,999.0,38.81354232877493,38.81354232877493,1.0
2950000,1.2754242,3.8868139,999.0,40.69923111051321,40.69923111051321,1.0
2960000,1.2754103,3.966497,999.0,41.210067160924275,41.210067160924275,1.0
2970000,1.2749562,3.9046073,999.0,34.45049001938767,34.45049001938767,1.0
2980000,1.274884,3.9360218,999.0,40.88752290606499,40.88752290606499,1.0
2990000,1.2746302,3.9032743,999.0,40.62427903432399,40.62427903432399,1.0
3000000,1.2745554,3.9758844,999.0,42.934947919845584,42.934947919845584,1.0
3010000,1.2737507,3.9734416,999.0,42.26730453305774,42.26730453305774,1.0
3020000,1.2733461,3.9446568,999.0,37.75281562842429,37.75281562842429,1.0
3030000,1.272935,3.9787135,999.0,42.11041850224137,42.11041850224137,1.0
3040000,1.2726519,3.9640691,999.0,40.40945261319478,40.40945261319478,1.0
3050000,1.2723886,3.9846458,999.0,40.64664257897271,40.64664257897271,1.0
3060000,1.272087,4.0513597,999.0,44.28277815878391,44.28277815878391,1.0
3070000,1.271923,3.9626956,999.0,37.77013203501701,37.77013203501701,1.0
3080000,1.2716668,4.0304556,999.0,41.81994349559148,41.81994349559148,1.0
3090000,1.271545,4.047287,999.0,38.96203197373284,38.96203197373284,1.0
3100000,1.271198,4.077998,999.0,45.213853657245636,45.213853657245636,1.0
3110000,1.271143,4.004621,999.0,41.99088083952665,41.99088083952665,1.0
3120000,1.2708939,4.027217,999.0,39.646297979354856,39.646297979354856,1.0
3130000,1.2708254,4.064664,999.0,40.58955895900726,40.58955895900726,1.0
3140000,1.2698805,4.0094743,999.0,39.043572606518865,39.043572606518865,1.0
3150000,1.2698805,4.0649877,999.0,42.72297687828541,42.72297687828541,1.0
3160000,1.2689266,4.119858,999.0,42.56191139221191,42.56191139221191,1.0
3170000,1.268904,4.077582,999.0,41.50543860594431,41.50543860594431,1.0
3180000,1.2682871,4.019535,999.0,40.230189353227615,40.230189353227615,1.0
3190000,1.2681992,4.1074953,999.0,42.48447133600712,42.48447133600712,1.0
3200000,1.2675648,4.0831823,999.0,38.33451337814331,38.33451337814331,1.0
3210000,1.2674,4.1782527,999.0,48.22841183344523,48.22841183344523,1.0
3220000,1.2670698,4.146928,999.0,42.91195511817932,42.91195511817932,1.0
3230000,1.2669078,4.1722727,999.0,44.61463449895382,44.61463449895382,1.0
3240000,1.266573,4.2090406,999.0,44.634739911556245,44.634739911556245,1.0
3250000,1.26633,4.0718203,999.0,37.983843591478134,37.983843591478134,1.0
3260000,1.2661341,4.2338696,999.0,47.72014266252518,47.72014266252518,1.0
3270000,1.2659075,4.0619516,999.0,43.62641839683056,43.62641839683056,1.0
3280000,1.265654,4.072664,999.0,36.08531157970428,36.08531157970428,1.0
